atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,3,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,15,grid_lattice,both,Constant,NaN,Nan,3
9,4,16,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,15,grid_lattice,both,Constant,NaN,Nan,4
