input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,15,0.06973913597880455,0.07613590127315392
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,30,0.18015828738776582,0.24933286324899054
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,70,0.17386731987014278,0.24206235895854433
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,4,0.234197066354379,0.28064021631028685
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,8,0.10046812969487928,0.08768672826365144
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,10,0.05337432471487686,0.051217596706246996
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,15,0.07937092531565651,0.06989747185191496
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,30,0.14267943546589612,0.18126731409948355
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,70,0.13834461296074665,0.18413303258244398
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,11,0.022778809908257824,0.015079232180057143
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,12,0.021752174120143006,0.02106280972971044
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,13,0.023567147503509526,0.02003422438986272
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,14,0.022353498215914796,0.021898478813260104
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,16,0.023599360937220436,0.021408840348120517
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,17,0.02345342292247525,0.021105449226257615
sine,250,30,1000,1024,2,0,4,grid_lattice_centred,20,0.023339275060375902,0.022159613139918537
sine,250,30,16,1024,3,0,4,grid_lattice_centred,11,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,12,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,13,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,14,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,16,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,17,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,3,0,4,grid_lattice_centred,20,0.055465895315681885,0.06445596651026989
sine,250,30,16,1024,4,0,4,grid_lattice_centred,11,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,12,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,13,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,14,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,16,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,17,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,4,0,4,grid_lattice_centred,20,0.047101102106088935,0.05392606417463238
sine,250,30,16,1024,5,0,4,grid_lattice_centred,11,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,12,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,13,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,14,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,16,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,17,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,5,0,4,grid_lattice_centred,20,0.05598809815314144,0.06123087915385139
sine,250,30,16,1024,6,0,4,grid_lattice_centred,11,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,12,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,13,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,14,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,16,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,17,0.06391165378297342,0.07077686422294814
sine,250,30,16,1024,6,0,4,grid_lattice_centred,20,0.06391165378297342,0.07077686422294814
