input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
sine,450,30,35,2,0.0013005640335698413,0.0006003004243733781
sine,450,30,40,2,0.0040708360124151665,0.0007776846127420348
sine,450,30,50,2,0.0016443649038204691,0.00023561505427722236
sine,450,30,60,2,0.001043190549755148,0.00012160242102215385
sine,450,30,70,2,0.004406508459213219,0.0006839493535771804
sine,450,30,80,2,0.0010447293629963544,5.1378805838325154e-05
sine,450,30,90,2,0.001055693443089639,3.293164402909079e-05
sine,450,30,100,2,0.0010285824879068223,2.381655803457489e-05
sine,500,30,4,2,0.24786097474423044,0.2471731796534032
sine,500,30,5,2,0.24786097474423044,0.2471731796534032
sine,500,30,6,2,0.026571005249900713,0.03017407655231033
sine,500,30,7,2,0.023639648167204895,0.02210800525916194
sine,500,30,8,2,0.02697737797988327,0.030701160751653855
sine,500,30,9,2,0.04897119532927741,0.06382714401829678
sine,500,30,10,2,0.026571187268101898,0.03016632241361014
sine,500,30,11,2,0.00463173741736137,0.010943675293197959
sine,500,30,12,2,0.008830063724714713,0.0025720958535713685
sine,500,30,13,2,0.013553286724424797,0.014589435343487105
sine,500,30,14,2,0.026566795580008195,0.030356215593461314
sine,500,30,15,2,0.003228624738336165,0.0057965754509381115
sine,500,30,16,2,0.004559693253025192,0.009589450424516604
sine,500,30,17,2,0.002361429236728849,0.0041997302699881825
sine,500,30,18,2,0.00038407923582028133,0.0019009267907504634
sine,500,30,19,2,0.002739795341494094,0.004894449750998198
sine,500,30,20,2,0.002606593495201857,0.047172282200618185
sine,500,30,25,2,0.0008041487320397393,0.006565243494652436
sine,500,30,30,2,0.00038510142758391077,0.005968577317676015
sine,500,30,35,2,0.00045389598097313096,0.0020136854929151547
sine,500,30,40,2,0.0007505672440193767,0.007689741448121638
sine,500,30,50,2,0.00015381137716103012,0.0028351404896376116
sine,500,30,60,2,0.0001064910136967467,0.0015986473167316454
sine,500,30,70,2,0.0005398398148782725,0.009272762107986597
sine,500,30,80,2,5.738527782322006e-05,0.0017859386407707567
sine,500,30,90,2,4.308414021410868e-05,0.0019210587286450128
sine,500,30,100,2,4.7738515735065374e-05,0.0018671229851061314
sine,550,30,4,2,0.2542677837174708,0.35725251824944654
sine,550,30,5,2,0.2542677837174708,0.35725251824944654
sine,550,30,6,2,0.02680397521792267,0.024375734165422127
sine,550,30,7,2,0.02330750322555836,0.01767706529743485
sine,550,30,8,2,0.027218180820147157,0.024569811188585748
sine,550,30,9,2,0.04963397092013182,0.03535538860339611
sine,550,30,10,2,0.026804113044384115,0.02438155224308916
sine,550,30,11,2,0.00667062347827839,0.004163910718722909
sine,550,30,12,2,0.008319056759501462,0.005582225624291071
sine,550,30,13,2,0.013067104952066987,0.01172928080091685
sine,550,30,14,2,0.026801247037086487,0.024250303603351855
sine,550,30,15,2,0.004240202762510306,0.002339037965253298
sine,550,30,16,2,0.005689509706210173,0.004991867613618306
sine,550,30,17,2,0.0028981075963750006,0.0039059003237882526
sine,550,30,18,2,0.0010887460775986257,0.0007093869720055985
sine,550,30,19,2,0.00360841907845393,0.002470366672600039
sine,550,30,20,2,0.03155099964430396,0.0021029753954209065
sine,550,30,25,2,0.0036016386069851474,0.0007440369639228339
sine,550,30,30,2,0.003012312318443056,0.00023145993851867504
sine,550,30,35,2,0.0015350495428876015,0.00032871148482527875
sine,550,30,40,2,0.004408617193332803,0.0004258395653003414
sine,550,30,50,2,0.0014063689811043422,0.00014690644005077374
sine,550,30,60,2,0.0008919836501807077,9.652076763678041e-05
sine,550,30,70,2,0.005432991806289237,0.0004178355036681341
sine,550,30,80,2,0.000860989027618919,3.515472450664521e-05
sine,550,30,90,2,0.0010752074495701358,6.792472082751607e-05
sine,550,30,100,2,0.001336686520136147,6.235560502068741e-05
mackey,250,30,4,8,0.20117884660126434,0.13708341001785967
mackey,250,30,5,8,0.20117884660126434,0.13708341001785967
mackey,250,30,6,8,0.03863953807179581,0.0337496251585361
mackey,250,30,7,8,0.038348767345806306,0.033228705599362626
mackey,250,30,8,8,0.038818995931736794,0.03392008474836993
mackey,250,30,9,8,0.05308248195752543,0.04750400223480987
mackey,250,30,10,8,0.03863949856349919,0.033728591066696754
mackey,250,30,11,8,0.01469971450512835,0.015200012229065132
mackey,250,30,12,8,0.030213118237102734,0.029861928811453647
mackey,250,30,13,8,0.03529946483295819,0.03079161409924582
mackey,250,30,14,8,0.038658329938505834,0.03407340400038527
mackey,250,30,15,8,0.009656131531044942,0.017465963586952876
mackey,250,30,16,8,0.013542242369207477,0.022240241151569154
mackey,250,30,17,8,0.008248629466251031,0.016124533743923773
mackey,250,30,18,8,0.005623744522432607,0.026931889793728847
mackey,250,30,19,8,0.01334688753599505,0.020091778575351656
mackey,250,30,20,8,0.013896641310547379,0.022891686471051532
mackey,250,30,25,8,0.00665504291832142,0.021920860178067433
mackey,250,30,30,8,0.009910824901678031,0.04032864048036272
mackey,250,30,35,8,0.00942648574507605,0.038424063346959636
mackey,250,30,40,8,0.011976087973719934,0.04451408989006652
mackey,250,30,50,8,0.009019092192135036,0.029592759080573933
mackey,250,30,60,8,0.008654595905058187,0.045722679553947314
mackey,250,30,70,8,0.010820101133793624,0.0343858418919454
mackey,250,30,80,8,0.008988137026270073,0.05252180700038888
mackey,250,30,90,8,0.009149689584723952,0.05506868385774496
mackey,250,30,100,8,0.009073628450169846,0.050998312350685755
mackey,300,30,4,8,0.19204781048543,0.27067025762386493
mackey,300,30,5,8,0.19204781048543,0.27067025762386493
mackey,300,30,6,8,0.036826582253601,0.05762372342078218
mackey,300,30,7,8,0.03630815108708069,0.05719394161570347
mackey,300,30,8,8,0.037002161096963124,0.057967351840006884
mackey,300,30,9,8,0.05124610367420672,0.0815903644787596
mackey,300,30,10,8,0.036824773817571634,0.05760389922295887
mackey,300,30,11,8,0.014516839712869357,0.023511134906158467
mackey,300,30,12,8,0.02877299825843967,0.042704429015192655
mackey,300,30,13,8,0.03292875506343724,0.0514733644289069
mackey,300,30,14,8,0.03686411042575185,0.057977298045461145
mackey,300,30,15,8,0.009830931780630757,0.013986927878364488
mackey,300,30,16,8,0.013699530944571497,0.02540585851843183
mackey,300,30,17,8,0.00888280465748026,0.016068887615358893
mackey,300,30,18,8,0.007224335009719874,0.021895002770090155
mackey,300,30,19,8,0.013008988066871254,0.020671445112461318
mackey,300,30,20,8,0.014329453237919705,0.02153727551946471
mackey,300,30,25,8,0.008056687177936622,0.016043519829448558
mackey,300,30,30,8,0.0123530774827088,0.029698002223337575
mackey,300,30,35,8,0.011532964301025949,0.028125199962293932
